Date,ARM,IONQ,TSM,POET,AVGO,AMD,QUBT,AASI.MI,MWEQ.MI,QBTS,Liquidita,Liquidita Impegnata,Valore Titoli,NAV,Cash Flow,TWRR Giornaliero,TWRR Cumulativo
2025-07-15,2.0,5.0,0.0,0.0,1.0,2.0,8.0,0.0,0.0,5.0,4.34,1025.68,1133.62,1137.96,0.0,0.0173,0.1208
2025-07-16,2.0,5.0,0.0,0.0,1.0,2.0,8.0,0.0,0.0,5.0,4.34,1025.68,1167.28,1171.62,0.0,0.0296,0.154
2025-07-17,2.0,0.0,1.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,54.2,1025.68,1141.05,1195.25,0.0,0.0202,0.1772
2025-07-21,2.0,0.0,1.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,54.2,1025.68,1118.21,1172.41,0.0,-0.0191,0.1548
2025-07-22,2.0,0.0,1.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,54.2,1025.68,1081.94,1136.14,0.0,-0.0309,0.119
2025-07-23,2.0,0.0,1.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,54.2,1025.68,1103.8,1158.0,0.0,0.0192,0.1406
2025-07-24,2.0,0.0,1.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,54.2,1025.68,1114.42,1168.62,0.0,0.0092,0.151
2025-07-28,2.0,0.0,1.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,54.2,1025.68,1157.49,1211.69,0.0,0.0369,0.1934
2025-07-29,2.0,0.0,1.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,54.2,1025.68,1163.13,1217.33,0.0,0.0047,0.199
2025-07-30,2.0,0.0,1.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,54.2,1025.68,1180.33,1234.53,0.0,0.0141,0.2159
2025-07-31,2.0,0.0,1.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,54.2,1025.68,1128.71,1182.91,0.0,-0.0418,0.1651
2025-08-04,2.0,0.0,1.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,104.2,1075.68,1118.06,1222.26,50.0,-0.009,0.1546
2025-08-05,2.0,0.0,1.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,104.2,1075.68,1108.54,1212.74,0.0,-0.0078,0.1456
2025-08-06,2.0,0.0,1.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,104.2,1075.68,1081.08,1185.28,0.0,-0.0226,0.1197
2025-08-07,2.0,0.0,1.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,104.2,1075.68,1103.4,1207.6,0.0,0.0188,0.1407
